title,description,url,user_id,category
"Beginning Ruby on Rails","Ruby on Rails is the revolutionary online programming tool that makes creating functional e-commerce web sites faster and easier than ever.","http://www.barnesandnoble.com/w/beginning-ruby-on-rails-steven-holzner/1102485807?ean=9780470069158","1","Book"
"Head First Rails: A Learner's Companion to Ruby on Rails","Ready to transport your web applications into the Web 2.0 era? Head First Rails takes your programming -- and productivity -- to the max.","http://www.barnesandnoble.com/w/head-first-rails-david-griffiths/1110832409?ean=9780596515775","2","Book"
"The Rails 3 Way","This encyclopedic book is not only a definitive Rails reference, but an indispensable guide to Software-as-a-Service coding techniques for serious programmers.","http://www.amazon.com/Rails-Way-Addison-Wesley-Professional-Ruby/dp/0321601661/ref=sr_1_1?s=books&ie=UTF8&qid=1381869006&sr=1-1&keywords=The+Rails+3+Way","7","Book"
"Learn Ruby the Hard Way","The Ruby translation of Zed Shaw's popular Learn Python the Hard Way. It assumes no prior programming background with focus on reading and writing code.","http://ruby.learncodethehardway.org/","5","Article"
"Why's (Poignant) Guide to Ruby","Everyone's favorite - Learn Ruby with carton foxes!","http://mislav.uniqpath.com/poignant-guide/","1","Article"
"Learn to Program","The Ruby for the Nuby tutorial by Chris Pine is a good place to start for people that do not have prior programming experience. It's a short tutorial that you can go over in a few hours.","http://pine.fm/LearnToProgram/","4","Article"
"Ruby on Rails for Microsoft Developers","This definitive guide examines how to take advantage of the new Agile methodologies offered when using Ruby on Rails (RoR).","http://www.amazon.com/Rails-Microsoft-Developers-Antonio-Cangiano/dp/0470374950/ref=sr_1_1?s=books&ie=UTF8&qid=1381869031&sr=1-1&keywords=Ruby+on+Rails+for+Microsoft+Developers","8","Book"
"Practical JRuby on Rails Web 2.0 Projects: Bringing Ruby on Rails","Discover how JRuby on Rails can be used to create web applications faster and more efficiently while still taking advantage of the vast power of Ruby.","http://www.amazon.com/Practical-JRuby-Rails-Web-Projects/dp/B008SMQ574","1","Book"
"Ruby on Rails Tutorial and LiveLesson Video Bundle: Learn Web","Rails has rapidly become one of the world's most popular web development frameworks.","http://www.amazon.com/Rails-Tutorial-LiveLesson-Video-Bundle/dp/032186297X/ref=sr_1_1?s=books&ie=UTF8&qid=1381869066&sr=1-1&keywords=Ruby+on+Rails+Tutorial+and+LiveLesson+Video+Bundle","2","Book"
"Rails Antipatterns: Best Practice Ruby on Rails Refactoring","The Complete Guide to Avoiding and Fixing Common Rails 3 Code and Design Problems As developers worldwide have adopted the powerful Ruby on Rails.","http://www.amazon.com/Rails-AntiPatterns-Addison-Wesley-Professional-ebook/dp/B004C04QE0/ref=sr_1_1?s=books&ie=UTF8&qid=1381869084&sr=1-1&keywords=Rails+Antipatterns%3A+Best+Practice+Ruby+on+Rails+Refactoring","3","Book"
"Ruby on Rails For Dummies","Quickly create Web sites with this poweful toolUse this free and easy programming language for e-commerce sites and blogsIf you need to build Web","http://www.dummies.com/store/product/Ruby-on-Rails-For-Dummies.productCd-0470081201.html","4","Book"
"Ruby on Rails: Up and Running","Ruby on Rails is the super-productive new way to develop full-featured web applications.","http://www.amazon.com/Rails-Running-Bruce-A-Tate/dp/0596522002","4","Book"
"Ruby on Rails Web Mashup Projects","This book is project-based. The format of each project is similar, with a statement of the project, discussion of the main protocols involved","http://www.amazon.com/Rails-Running-Bruce-A-Tate/dp/0596522002","2","Book"
"Beginning Ruby on Rails E-Commerce: From Novice to Professional","Beginning Ruby on Rails E-Commerce: From Novice to Professional is the first book of its kind to guide you through producing e-commerce apps.","http://www.amazon.com/Beginning-Ruby-Rails-E-Commerce-ebook/dp/B0017U0ESU/ref=sr_1_1?s=books&ie=UTF8&qid=1381869162&sr=1-1&keywords=Beginning+Ruby+on+Rails+E-Commerce%3A+From+Novice+to+Professional","7","Book"
"Professional Ruby on Rails","Nothing less than a revolution in the way web applications are constructed,Ruby on Rails (RoR) boasts a straightforward and intuitive nature.","http://shop.oreilly.com/product/9780470223888.do","8","Book"
"Ruby on Rails Enterprise Application Development: Plan, Program","This book for developers familiar with Ruby on Rails who want to develop and roll out small applications deals with a key feature or function.","http://www.packtpub.com/ruby-rails-enterprise-application-development-plan-program-extend/book","3","Book"
"RailsSpace: Building a Social Networking Website with Ruby on Rails","Ruby on Rails is fast displacing PHP, ASP, and J2EE as the development framework of choice for discriminating programmers.","http://www.amazon.com/RailsSpace-Building-Networking-Addison-Wesley-Professional/dp/0321480791","4","Book"
"Flex on Rails: Building Rich Internet Applications with Adobe Flex","There’s no question you’re going to be a better Flex and Rails developer when you’re done reading this book. –From the Foreword by Matt Chotin","http://www.coderanch.com/t/495220/Book-Reviews/Flex-Rails-Building-Rich-Internet","8","Book"
"Ruby on Rails 3 Tutorial: Learn Rails by Example","Ruby on Rails 3 Tutorial: Learn Rails by Exampleby Michael Hartl has become a must read for developers learning how to build Rails apps.","http://ruby.railstutorial.org/","5","Book"
"Ruby on Rails Power!: The Comprehensive Guide","Ruby on Rails is a feature-rich, easy to learn, and powerful web application framework that makes creating sophisticated, full featured web site.","http://www.amazon.com/Ruby-Rails-Power-Comprehensive-Guide/dp/1598632167","8","Book"
"Using Ruby on Rails for Web Development, Introduction Guide","Ruby on Rails is a highly-productive and industrial-strength web application framework.","http://www.amazon.com/Using-Rails-Development-Introduction-Guide/dp/1921573120","3","Book"
"Ajax on Rails","Learn to build dynamic, interactive web applications using the two most important approaches to web development today.","http://shop.oreilly.com/product/9780596527440.do","7","Book"
"How to Install Rails","A getting started guide on how to set up Rails in multiple environments, from the official Ruby on Rails site.","http://wiki.rubyonrails.org/getting-started/installation","3","Article"
"Fast-track your Web apps with Ruby on Rails","Fast-track your Web apps with Ruby on Rails is a somewhat dated but excellent overview of how the web framework works.","http://www.ibm.com/developerworks/linux/library/l-rubyrails/","3","Article"
"Ruby Study Notes","If you’re not familiar with the Ruby language, check out Ruby Study Notes, a web-based tutorial on the basics of Ruby.","http://www.onlamp.com/pub/a/onlamp/2007/01/05/revisiting-ruby-on-rails-revisited-2.html","5","Article"
"Ruby in 20 Minutes","The official Ruby site has a quickstart that will get you well underway into Ruby programming.","https://www.ruby-lang.org/en/documentation/quickstart/","8","Article"
"Ruby on Rails Cheat Sheet","A quick reference for Rail’s directory structure, pre-defined variables, syntax and more.","http://www.addedbytes.com/cheat-sheets/ruby-on-rails-cheat-sheet/","5","Article"
"Ruby on Rails Tutorial Part 1 - Getting Started","In this Ruby on Rails Blog Tutorial we'll work on getting a blogging application up and running, learn about the rails directory structure, and do a simple hello world. In this video I'm using Rails 3.1 and Ruby 1.9.2 on Linux.","http://www.youtube.com/watch?v=UQ8_VOGj5H8","5","Video"
"Web Development with Ruby On Rails","The Ruby on Rails framework gives you the tools you need to develop web applications faster. In this webinar, you'll learn about the basic components of the Rails framework and see how to create and test a very simple web application that you can build upon. By the end you'll have an idea of how you can leverage Ruby on Rails in your work.","http://www.youtube.com/watch?v=z0lf0o9cNdg","2","Video"
"Your first Ruby on Rails Application","No fluff, just get to it - example of how to create a rails application, push it to GitHub source control, and to Heroku for cloud hosting.","http://www.youtube.com/watch?v=9gKyW9Uq6wo","5","Video"
"Ruby on Rails 3 Tutorial Livelessons Bundle: Learn Rails","Use Michael Hartl's Acclaimed Video Lessons and Best-Selling Book Side by Side to Master Rails Fast! LiveLessons DVD with 18+ hours of video.","http://www.amazon.com/Ruby-Rails-Tutorial-LiveLessons-Bundle/dp/0132492547","3","Book"
"Ruby on Rails Bible","Thanks to the explosive growth in popularity of the Rails framework, the equally popular Ruby programming language now has a great place to hang.","http://www.barnesandnoble.com/w/ruby-on-rails-bible-timothy-fisher/1102487999?ean=9780470258224","4","Book"
"Build Your Own Ruby on Rails Web Applications","Want to learn all about Ruby on Rails, the web application framework that is inspiring developers around the world?","http://shop.oreilly.com/product/9780975841952.do","5","Book"
"Ruby on Rails for PHP and Java Developers","About the Author Deepak Vohra is an Oracle Certified Associate and a Sun Certified Java Programmer.","http://www.amazon.com/Ruby-Rails-PHP-Java-Developers/dp/354073144X","6","Book"
